,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_10,event_11,event_12,event_13,event_14,event_15,event_16,event_17,event_20,event_21,event_23,event_24,event_25,event_26,event_27,event_28,event_29,event_30,event_31,event_32,event_33,event_34,event_35,event_36,event_37,event_38,event_39,event_40,event_41,event_42,event_43,event_44,event_45,event_48,event_49,event_51,event_52,event_53,event_54,event_55,event_56,event_58,event_59,event_61,event_62,event_63,event_65,event_66,event_67,event_68,event_69,event_70,event_72,event_73,event_74,event_75,event_76,event_77,event_78,event_80,event_81,event_82,event_83,event_84,event_85,event_87,event_88,event_89,event_90,event_91,event_92,event_93,event_94,event_95,event_96,event_97,event_98,event_99
10,-49.60000000000001,-48.0,-68.0,-101.6,-22.4,-53.6,-39.2,-92.8,-95.2,-52.8,-106.4,-108.0,-104.0,-71.2,-27.200000000000003,-83.20000000000002,-78.39999999999999,-95.2,-44.00000000000001,-141.6,-81.60000000000001,-141.6,-71.2,-19.200000000000003,-141.6,-96.0,-95.2,-31.200000000000003,-31.200000000000003,-77.60000000000001,-79.2,-141.6,-37.6,-60.8,-68.0,-55.2,-106.4,-71.2,-67.2,-77.60000000000001,-20.0,-21.6,-21.6,-46.400000000000006,-68.8,-81.60000000000001,-80.80000000000001,-83.20000000000002,-84.8,-56.0,-44.00000000000001,-57.60000000000001,-126.4,-23.200000000000003,-39.2,-111.2,-27.200000000000003,-141.6,-132.0,-64.0,-67.2,-100.0,-17.6,-32.0,-107.2,-97.6,-141.6,-60.00000000000001,-49.60000000000001,-40.8,-100.0,-71.2,-67.2,-141.6,-41.60000000000001,-116.8,-98.4,-69.60000000000001,-46.400000000000006,-45.6,-108.8,-60.00000000000001,-51.2,-54.400000000000006,-80.0,-138.4,-80.0
11,-36.8,-44.00000000000001,-43.2,-56.0,-17.6,-40.8,-35.2,-84.0,-65.60000000000001,-32.800000000000004,-80.0,-60.8,-61.6,-59.2,-19.200000000000003,-64.0,-64.0,-51.2,-21.6,-141.6,-46.400000000000006,-141.6,-69.60000000000001,-12.8,-120.8,-65.60000000000001,-60.8,-18.4,-15.2,-72.00000000000001,-76.80000000000001,-92.0,-20.0,-34.4,-41.60000000000001,-48.8,-94.4,-54.400000000000006,-51.2,-52.00000000000001,-9.6,-11.2,-15.2,-30.4,-50.4,-48.0,-52.00000000000001,-51.2,-70.4,-42.4,-28.0,-38.400000000000006,-85.60000000000001,-12.8,-24.0,-52.8,-20.0,-115.20000000000002,-101.6,-39.2,-48.0,-73.6,-8.0,-32.0,-92.8,-63.2,-141.6,-37.6,-33.6,-24.0,-53.6,-54.400000000000006,-41.60000000000001,-118.4,-39.2,-69.60000000000001,-67.2,-45.6,-22.4,-44.8,-92.8,-38.400000000000006,-47.2,-40.0,-56.0,-84.0,-68.8
12,-17.6,-20.0,-20.0,-22.4,-8.8,-18.4,-19.200000000000003,-41.60000000000001,-28.0,-12.0,-37.6,-22.4,-22.4,-28.0,-8.0,-26.4,-28.0,-22.4,-9.6,-66.4,-20.800000000000004,-51.2,-34.4,-3.2,-46.400000000000006,-23.200000000000003,-23.200000000000003,-7.200000000000001,-6.4,-32.800000000000004,-38.400000000000006,-38.400000000000006,-8.8,-16.8,-16.8,-22.4,-42.4,-26.4,-23.200000000000003,-24.800000000000004,-4.0,-6.4,-7.200000000000001,-14.400000000000002,-22.4,-18.4,-23.200000000000003,-20.800000000000004,-29.6,-21.6,-14.400000000000002,-12.8,-38.400000000000006,-4.0,-8.0,-19.200000000000003,-10.400000000000002,-53.6,-42.4,-17.6,-22.4,-32.0,0.0,-16.8,-44.00000000000001,-30.4,-74.4,-14.400000000000002,-15.2,-11.2,-19.200000000000003,-24.800000000000004,-17.6,-52.8,-24.0,-24.800000000000004,-27.200000000000003,-18.4,-8.8,-23.200000000000003,-45.6,-20.0,-22.4,-19.200000000000003,-22.4,-29.6,-30.4
13,-5.6,-8.8,-9.6,-9.6,-2.4000000000000004,-7.200000000000001,-6.4,-17.6,-12.8,-6.4,-16.0,-9.6,-9.6,-11.2,-0.8,-10.400000000000002,-12.8,-11.2,-4.800000000000001,-24.800000000000004,-10.400000000000002,-22.4,-13.6,-0.8,-16.0,-8.8,-8.8,-3.2,-4.800000000000001,-12.0,-16.0,-20.800000000000004,-2.4000000000000004,-10.400000000000002,-4.0,-8.8,-13.6,-13.6,-12.8,-9.6,-2.4000000000000004,-0.8,-4.0,-6.4,-10.400000000000002,-9.6,-11.2,-8.8,-11.2,-8.0,-5.6,-4.800000000000001,-17.6,-1.6,-4.0,-8.0,-5.6,-25.6,-17.6,-8.8,-8.8,-14.400000000000002,-3.2,-8.0,-18.4,-15.2,-26.4,-6.4,-7.200000000000001,-4.800000000000001,-9.6,-12.0,-4.0,-23.200000000000003,-10.400000000000002,-12.0,-11.2,-8.8,-6.4,-8.8,-18.4,-9.6,-10.400000000000002,-9.6,-11.2,-11.2,-13.6
14,-5.6,-3.2,-4.0,-4.0,-0.8,-4.0,-2.4000000000000004,-9.6,-5.6,-3.2,-7.200000000000001,-4.0,-5.6,-4.800000000000001,-2.4000000000000004,-6.4,-8.0,-5.6,-2.4000000000000004,-14.400000000000002,-4.800000000000001,-12.0,-4.0,0.0,-12.0,-8.8,-3.2,-0.8,-3.2,-8.0,-8.0,-11.2,-2.4000000000000004,-5.6,-1.6,-6.4,-9.6,-6.4,-4.800000000000001,-4.800000000000001,0.0,-0.8,-1.6,-2.4000000000000004,-6.4,-3.2,-6.4,-5.6,-8.0,-4.0,-4.0,-2.4000000000000004,-6.4,-2.4000000000000004,-3.2,-2.4000000000000004,-0.8,-12.0,-11.2,-3.2,-4.800000000000001,-6.4,-0.8,-4.800000000000001,-10.400000000000002,-8.0,-13.6,-4.800000000000001,-3.2,-2.4000000000000004,-2.4000000000000004,-7.200000000000001,-2.4000000000000004,-11.2,-3.2,-5.6,-5.6,-3.2,-3.2,-4.800000000000001,-11.2,-4.800000000000001,-6.4,-4.0,-8.0,-8.8,-8.8
15,0.8,0.0,-0.8,0.0,0.8,-1.6,-1.6,-5.6,-1.6,1.6,-1.6,-0.8,-3.2,-2.4000000000000004,-0.8,-0.8,-1.6,-0.8,0.8,-7.200000000000001,-4.0,-1.6,-2.4000000000000004,0.8,-4.800000000000001,-0.8,-0.8,-0.8,0.0,0.0,-3.2,-6.4,-1.6,-1.6,0.0,-1.6,-0.8,-2.4000000000000004,-0.8,-4.0,0.0,0.0,-0.8,-1.6,-0.8,-1.6,0.0,-1.6,-3.2,-0.8,0.0,-2.4000000000000004,-1.6,0.8,0.0,-0.8,0.0,-2.4000000000000004,-4.800000000000001,0.0,-1.6,-2.4000000000000004,1.6,0.0,-5.6,-4.800000000000001,-5.6,-1.6,-0.8,-1.6,0.8,-2.4000000000000004,-2.4000000000000004,-5.6,-0.8,-0.8,0.0,-0.8,0.8,-2.4000000000000004,-5.6,-1.6,-4.800000000000001,-0.8,-2.4000000000000004,-1.6,-5.6
16,-0.8,-0.8,-0.8,-3.2,0.0,-2.4000000000000004,-0.8,-3.2,-3.2,-3.2,-3.2,-3.2,-4.800000000000001,-2.4000000000000004,-2.4000000000000004,-0.8,-0.8,-4.0,-0.8,-2.4000000000000004,-8.0,-7.200000000000001,-1.6,1.6,-5.6,-2.4000000000000004,-1.6,-2.4000000000000004,-0.8,-3.2,-2.4000000000000004,-8.8,-2.4000000000000004,-1.6,-2.4000000000000004,-1.6,-1.6,-4.0,-2.4000000000000004,-3.2,-0.8,0.0,0.0,-3.2,-0.8,-4.800000000000001,-3.2,-4.0,-0.8,-3.2,-2.4000000000000004,-3.2,-3.2,0.0,-3.2,-6.4,-0.8,-7.200000000000001,-4.800000000000001,-3.2,-1.6,-6.4,-3.2,-1.6,-4.0,-5.6,-3.2,-2.4000000000000004,-5.6,-0.8,-4.0,-2.4000000000000004,-1.6,-5.6,-0.8,-5.6,-3.2,-2.4000000000000004,-0.8,-1.6,-2.4000000000000004,-3.2,-3.2,-0.8,-0.8,-3.2,-2.4000000000000004
17,-4.0,-4.0,-5.6,-7.200000000000001,-1.6,-4.800000000000001,-3.2,-6.4,-8.0,-3.2,-8.8,-8.0,-5.6,-4.800000000000001,-1.6,-7.200000000000001,-4.0,-5.6,-2.4000000000000004,-10.400000000000002,-5.6,-14.400000000000002,-4.800000000000001,-1.6,-12.0,-6.4,-6.4,-2.4000000000000004,-0.8,-5.6,-5.6,-10.400000000000002,-3.2,-4.0,-4.800000000000001,-3.2,-7.200000000000001,-4.800000000000001,-3.2,-4.0,-1.6,-0.8,-0.8,-2.4000000000000004,-4.0,-5.6,-4.800000000000001,-6.4,-6.4,-4.800000000000001,-1.6,-4.800000000000001,-8.0,-0.8,-3.2,-8.0,-1.6,-12.8,-10.400000000000002,-5.6,-4.0,-7.200000000000001,-0.8,-1.6,-5.6,-8.8,-10.400000000000002,-4.0,-0.8,-1.6,-6.4,-4.800000000000001,-4.800000000000001,-9.6,-1.6,-8.0,-7.200000000000001,-4.0,-4.800000000000001,-1.6,-8.0,-5.6,-4.800000000000001,-3.2,-5.6,-10.400000000000002,-8.0
18,-1.6,-3.2,-3.2,-4.0,0.0,-4.0,-1.6,-5.6,-7.200000000000001,-2.4000000000000004,-6.4,-3.2,-4.800000000000001,-4.800000000000001,-0.8,-4.0,-5.6,-2.4000000000000004,-0.8,-11.2,-3.2,-8.8,-4.800000000000001,-0.8,-9.6,-4.800000000000001,-4.0,-1.6,0.0,-6.4,-5.6,-6.4,-0.8,-2.4000000000000004,-4.800000000000001,-4.800000000000001,-5.6,-3.2,-4.0,-4.800000000000001,-0.8,0.0,-3.2,-1.6,-3.2,-5.6,-2.4000000000000004,-3.2,-6.4,-1.6,-1.6,-4.0,-7.200000000000001,0.0,-0.8,-5.6,-2.4000000000000004,-8.8,-8.0,-4.800000000000001,-4.800000000000001,-4.0,0.8,-1.6,-5.6,-4.800000000000001,-11.2,-3.2,-0.8,0.0,-4.800000000000001,-4.0,-4.800000000000001,-9.6,-4.0,-5.6,-4.800000000000001,-1.6,-1.6,-4.800000000000001,-4.0,-1.6,-2.4000000000000004,-0.8,-3.2,-5.6,-8.0
19,-3.2,-1.6,-2.4000000000000004,-2.4000000000000004,0.0,-0.8,-2.4000000000000004,-2.4000000000000004,-2.4000000000000004,-1.6,-3.2,-4.0,-4.0,-0.8,-2.4000000000000004,-1.6,-2.4000000000000004,-4.800000000000001,-1.6,-6.4,-4.800000000000001,-8.0,-1.6,0.0,-6.4,-4.0,-1.6,-3.2,-0.8,-3.2,-4.0,-4.800000000000001,-2.4000000000000004,-4.0,-4.0,-2.4000000000000004,-6.4,-1.6,-2.4000000000000004,-3.2,1.6,0.0,0.0,-1.6,-1.6,-1.6,-4.0,-3.2,-2.4000000000000004,-2.4000000000000004,-2.4000000000000004,-4.0,-3.2,-1.6,-1.6,-6.4,-0.8,-7.200000000000001,-4.800000000000001,-1.6,-0.8,-5.6,-1.6,-0.8,-3.2,-6.4,-5.6,-3.2,-5.6,-2.4000000000000004,-4.0,-3.2,-3.2,-4.0,-2.4000000000000004,-4.0,-2.4000000000000004,-3.2,-1.6,-2.4000000000000004,-3.2,-2.4000000000000004,-0.8,-1.6,-3.2,-4.800000000000001,-1.6
20,-1.6,-1.6,0.0,-2.4000000000000004,-1.6,-2.4000000000000004,-2.4000000000000004,-4.0,-4.800000000000001,-0.8,-5.6,-1.6,-1.6,-4.0,0.8,-2.4000000000000004,-2.4000000000000004,-3.2,-2.4000000000000004,-6.4,-0.8,-7.200000000000001,-1.6,0.8,-6.4,-2.4000000000000004,-4.0,-0.8,-2.4000000000000004,-2.4000000000000004,-4.0,-4.800000000000001,-1.6,-2.4000000000000004,-1.6,-0.8,-4.800000000000001,-1.6,-3.2,-3.2,-0.8,0.0,-0.8,-0.8,-1.6,-1.6,-2.4000000000000004,-1.6,-0.8,-3.2,-2.4000000000000004,-2.4000000000000004,-3.2,-0.8,0.8,-3.2,0.0,-4.800000000000001,-4.800000000000001,-0.8,-2.4000000000000004,-4.0,-0.8,-2.4000000000000004,-4.0,-3.2,-6.4,-1.6,0.0,-2.4000000000000004,-4.0,-3.2,-0.8,-4.0,-4.0,-3.2,-3.2,-2.4000000000000004,-1.6,-2.4000000000000004,-4.0,-0.8,-2.4000000000000004,-1.6,-1.6,-3.2,-3.2
21,-0.8,-0.8,0.0,0.0,0.0,-1.6,0.0,-1.6,0.0,0.0,-0.8,1.6,0.0,-1.6,-0.8,0.0,-0.8,0.0,0.8,-2.4000000000000004,0.0,1.6,-1.6,0.8,0.0,-0.8,-0.8,0.8,0.0,-1.6,-1.6,-1.6,0.8,0.8,1.6,-0.8,0.0,0.8,0.0,0.0,0.0,0.8,-1.6,0.8,0.0,1.6,-1.6,0.8,0.0,1.6,0.0,-2.4000000000000004,-0.8,-0.8,-0.8,0.0,0.8,-1.6,-0.8,0.8,-0.8,0.0,0.0,-2.4000000000000004,-1.6,-1.6,-4.800000000000001,0.0,2.4000000000000004,0.8,0.8,0.0,1.6,-2.4000000000000004,-1.6,0.0,0.0,0.0,0.8,0.0,-3.2,0.0,0.0,-0.8,-0.8,0.0,0.0
22,1.6,1.6,0.0,-0.8,0.0,0.0,0.8,1.6,0.0,0.0,0.8,0.0,0.0,0.8,0.8,-0.8,1.6,-2.4000000000000004,0.8,-0.8,-0.8,0.8,0.8,0.8,-0.8,0.0,0.0,0.8,-0.8,-0.8,1.6,0.8,0.0,-1.6,0.0,0.8,2.4000000000000004,1.6,0.0,-2.4000000000000004,0.8,0.8,0.8,0.0,0.8,1.6,0.0,-0.8,0.0,0.0,0.0,-0.8,0.0,-0.8,0.0,-0.8,1.6,-0.8,0.0,0.0,1.6,-0.8,-0.8,0.8,0.0,0.0,0.0,0.8,-1.6,-0.8,1.6,1.6,0.0,-1.6,0.8,0.8,0.8,0.0,0.0,0.8,-1.6,0.0,0.0,0.0,0.0,0.8,1.6
23,-0.8,0.0,-0.8,-0.8,1.6,0.0,0.8,0.8,-0.8,-0.8,-0.8,0.8,0.0,0.0,0.8,0.8,-1.6,-1.6,0.0,0.0,0.0,-3.2,-0.8,0.8,-1.6,0.8,-0.8,0.0,0.0,0.0,0.8,-1.6,0.0,0.0,1.6,1.6,-0.8,-2.4000000000000004,-0.8,-1.6,0.0,0.8,0.0,0.0,-0.8,-2.4000000000000004,-0.8,0.8,0.0,-0.8,0.0,-1.6,-0.8,1.6,0.0,0.0,0.0,-1.6,-2.4000000000000004,-0.8,-0.8,-0.8,1.6,0.0,-2.4000000000000004,-0.8,-1.6,0.0,-1.6,0.0,-1.6,0.0,-0.8,-2.4000000000000004,0.8,-0.8,-1.6,-1.6,0.0,-1.6,0.0,0.8,-0.8,0.0,-1.6,-0.8,0.0
24,0.0,0.0,0.0,0.8,-1.6,0.0,0.8,-1.6,0.0,0.0,-0.8,0.0,0.8,0.8,-0.8,0.0,0.0,0.8,0.0,-0.8,0.8,-3.2,0.8,-0.8,-0.8,-0.8,0.8,-0.8,0.0,-0.8,0.8,-2.4000000000000004,1.6,0.0,-0.8,0.8,-1.6,-0.8,1.6,0.8,0.8,0.0,0.0,0.8,0.0,0.0,-1.6,-0.8,-1.6,0.0,-0.8,0.0,-1.6,0.8,-0.8,0.0,1.6,-0.8,-0.8,0.0,0.0,0.8,0.0,-0.8,0.0,0.0,-3.2,0.0,0.8,0.0,1.6,-0.8,0.8,0.0,2.4000000000000004,-0.8,0.8,0.0,-0.8,-0.8,-2.4000000000000004,-0.8,0.0,0.0,-2.4000000000000004,0.0,0.0
