,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9,event_10,event_11,event_12,event_13,event_14,event_15,event_16,event_17,event_18,event_19,event_20,event_21,event_22,event_23,event_24,event_25,event_26,event_27,event_28,event_29,event_30,event_31,event_32,event_33,event_34,event_35,event_36,event_37,event_38,event_39,event_40,event_41,event_42,event_43,event_44,event_45,event_46,event_47,event_48,event_49,event_50
10,9,52.0,49.0,55.0,53.0,51.0,52.0,56.0,55.0,54.0,53.0,53.0,50.0,52.0,53.0,51.0,53.0,53.0,53.0,53.0,52.0,52.0,51.0,53.0,54.0,55.0,54.0,55.0,52.0,52.0,51.0,51.0,53.0,55.0,52.0,52.0,53.0,52.0,52.0,53.0,52.0,51.0,52.0,53.0,53.0,53.0,50.0,55.0,54.0,52.0,52.0
11,10,52.0,50.0,50.0,54.0,54.0,53.0,52.0,54.0,54.0,54.0,54.0,51.0,51.0,54.0,52.0,52.0,53.0,53.0,54.0,52.0,51.0,51.0,54.0,52.0,54.0,54.0,54.0,52.0,54.0,53.0,54.0,54.0,54.0,52.0,54.0,54.0,53.0,53.0,53.0,52.0,51.0,53.0,51.0,53.0,52.0,50.0,51.0,52.0,51.0,55.0
12,11,51.0,55.0,52.0,53.0,52.0,52.0,56.0,53.0,55.0,54.0,55.0,52.0,51.0,53.0,55.0,51.0,52.0,55.0,53.0,52.0,52.0,53.0,52.0,53.0,53.0,51.0,51.0,52.0,55.0,52.0,52.0,52.0,52.0,51.0,52.0,54.0,52.0,55.0,53.0,52.0,54.0,53.0,51.0,52.0,53.0,53.0,52.0,52.0,54.0,53.0
13,12,53.0,53.0,53.0,54.0,52.0,53.0,51.0,53.0,52.0,53.0,53.0,53.0,51.0,52.0,52.0,54.0,51.0,53.0,51.0,53.0,52.0,54.0,55.0,51.0,52.0,53.0,53.0,52.0,54.0,51.0,53.0,53.0,53.0,51.0,55.0,54.0,54.0,54.0,52.0,51.0,53.0,52.0,52.0,51.0,52.0,51.0,52.0,52.0,53.0,52.0
14,13,53.0,48.0,53.0,54.0,54.0,52.0,53.0,52.0,53.0,53.0,54.0,53.0,51.0,55.0,53.0,53.0,53.0,53.0,54.0,52.0,52.0,53.0,53.0,53.0,54.0,52.0,53.0,52.0,51.0,51.0,51.0,51.0,54.0,50.0,52.0,52.0,52.0,52.0,53.0,49.0,53.0,52.0,49.0,52.0,52.0,52.0,53.0,54.0,51.0,54.0
15,14,52.0,51.0,52.0,53.0,52.0,53.0,54.0,55.0,52.0,54.0,55.0,52.0,54.0,52.0,54.0,53.0,52.0,54.0,53.0,52.0,52.0,53.0,52.0,54.0,50.0,54.0,55.0,54.0,54.0,52.0,51.0,52.0,53.0,54.0,52.0,53.0,50.0,53.0,51.0,52.0,53.0,51.0,53.0,52.0,52.0,52.0,52.0,52.0,52.0,54.0
16,15,53.0,53.0,52.0,53.0,51.0,52.0,50.0,52.0,52.0,54.0,52.0,53.0,52.0,53.0,52.0,53.0,51.0,53.0,54.0,52.0,52.0,53.0,51.0,53.0,52.0,53.0,53.0,52.0,52.0,51.0,51.0,53.0,52.0,52.0,55.0,53.0,54.0,53.0,52.0,53.0,51.0,53.0,51.0,52.0,53.0,50.0,51.0,53.0,53.0,53.0
17,16,51.0,51.0,56.0,53.0,52.0,52.0,54.0,50.0,53.0,53.0,54.0,53.0,54.0,53.0,53.0,52.0,53.0,52.0,52.0,53.0,53.0,52.0,50.0,53.0,54.0,54.0,52.0,50.0,53.0,53.0,52.0,54.0,53.0,55.0,54.0,51.0,52.0,54.0,55.0,51.0,54.0,54.0,51.0,52.0,51.0,53.0,52.0,51.0,51.0,53.0
18,17,54.0,50.0,51.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,52.0,51.0,51.0,53.0,52.0,52.0,54.0,54.0,54.0,51.0,54.0,52.0,54.0,53.0,53.0,53.0,54.0,53.0,52.0,51.0,52.0,54.0,54.0,53.0,54.0,52.0,54.0,52.0,52.0,51.0,54.0,52.0,53.0,51.0,53.0,52.0,52.0,53.0,52.0,52.0
19,18,52.0,55.0,51.0,52.0,53.0,54.0,52.0,51.0,53.0,52.0,54.0,53.0,53.0,52.0,53.0,53.0,52.0,54.0,54.0,53.0,52.0,54.0,52.0,53.0,54.0,53.0,53.0,53.0,53.0,52.0,53.0,52.0,53.0,52.0,54.0,53.0,52.0,51.0,52.0,55.0,53.0,53.0,52.0,50.0,53.0,50.0,51.0,51.0,53.0,55.0
20,19,52.0,55.0,54.0,52.0,52.0,53.0,57.0,53.0,52.0,51.0,53.0,52.0,55.0,51.0,55.0,54.0,53.0,50.0,50.0,53.0,53.0,54.0,53.0,51.0,53.0,54.0,54.0,52.0,53.0,52.0,52.0,51.0,52.0,51.0,54.0,53.0,52.0,53.0,53.0,51.0,53.0,53.0,54.0,51.0,54.0,53.0,52.0,52.0,53.0,53.0
21,20,54.0,49.0,53.0,52.0,51.0,53.0,52.0,52.0,52.0,53.0,53.0,53.0,52.0,53.0,53.0,53.0,54.0,53.0,54.0,54.0,51.0,53.0,54.0,54.0,55.0,52.0,53.0,51.0,54.0,54.0,54.0,54.0,53.0,53.0,54.0,53.0,52.0,53.0,53.0,51.0,53.0,52.0,53.0,50.0,52.0,54.0,51.0,54.0,53.0,53.0
22,21,50.0,50.0,52.0,52.0,52.0,51.0,54.0,51.0,52.0,53.0,53.0,51.0,53.0,54.0,52.0,52.0,53.0,53.0,53.0,53.0,51.0,52.0,52.0,53.0,54.0,49.0,52.0,53.0,52.0,54.0,52.0,54.0,49.0,53.0,54.0,54.0,53.0,56.0,52.0,52.0,52.0,54.0,54.0,51.0,52.0,53.0,52.0,54.0,54.0,54.0
23,22,53.0,52.0,50.0,53.0,52.0,53.0,53.0,54.0,52.0,52.0,53.0,51.0,50.0,52.0,54.0,54.0,55.0,50.0,54.0,54.0,54.0,51.0,54.0,53.0,53.0,53.0,54.0,56.0,54.0,52.0,52.0,53.0,53.0,51.0,54.0,53.0,55.0,54.0,51.0,53.0,50.0,52.0,53.0,52.0,55.0,53.0,54.0,50.0,54.0,55.0
24,23,55.0,52.0,52.0,52.0,53.0,52.0,51.0,52.0,53.0,54.0,54.0,53.0,53.0,54.0,54.0,52.0,52.0,52.0,54.0,53.0,53.0,51.0,51.0,53.0,53.0,54.0,53.0,53.0,54.0,53.0,54.0,52.0,55.0,52.0,54.0,53.0,52.0,51.0,53.0,49.0,53.0,52.0,51.0,51.0,52.0,53.0,52.0,53.0,52.0,54.0
25,24,53.0,50.0,54.0,55.0,53.0,53.0,55.0,51.0,52.0,52.0,53.0,52.0,53.0,51.0,54.0,54.0,51.0,52.0,54.0,53.0,51.0,51.0,53.0,53.0,52.0,53.0,53.0,52.0,54.0,54.0,53.0,53.0,51.0,53.0,56.0,54.0,54.0,53.0,54.0,50.0,53.0,53.0,54.0,51.0,51.0,51.0,53.0,55.0,55.0,54.0
26,25,53.0,51.0,52.0,53.0,51.0,51.0,54.0,51.0,51.0,51.0,54.0,54.0,53.0,52.0,52.0,52.0,52.0,54.0,55.0,53.0,53.0,50.0,54.0,52.0,52.0,51.0,53.0,52.0,52.0,52.0,51.0,55.0,51.0,53.0,54.0,53.0,52.0,53.0,51.0,54.0,52.0,53.0,53.0,52.0,54.0,52.0,52.0,52.0,54.0,54.0
27,26,54.0,54.0,51.0,51.0,52.0,51.0,52.0,52.0,51.0,52.0,54.0,51.0,54.0,55.0,53.0,53.0,53.0,53.0,52.0,53.0,56.0,52.0,54.0,53.0,52.0,54.0,53.0,54.0,54.0,55.0,52.0,54.0,55.0,51.0,56.0,55.0,52.0,52.0,52.0,51.0,52.0,53.0,52.0,51.0,51.0,54.0,52.0,53.0,51.0,54.0
28,27,54.0,51.0,54.0,53.0,52.0,50.0,53.0,52.0,51.0,53.0,54.0,51.0,53.0,53.0,53.0,54.0,54.0,51.0,53.0,55.0,52.0,53.0,53.0,53.0,53.0,57.0,53.0,53.0,53.0,53.0,53.0,51.0,53.0,52.0,54.0,53.0,52.0,51.0,52.0,51.0,55.0,52.0,54.0,51.0,52.0,51.0,53.0,52.0,53.0,52.0
29,28,50.0,50.0,54.0,52.0,51.0,50.0,52.0,50.0,51.0,53.0,53.0,53.0,51.0,55.0,54.0,54.0,54.0,52.0,52.0,53.0,55.0,52.0,52.0,54.0,52.0,52.0,52.0,53.0,52.0,52.0,53.0,54.0,52.0,54.0,52.0,53.0,54.0,52.0,53.0,52.0,51.0,55.0,53.0,53.0,52.0,50.0,55.0,53.0,52.0,54.0
30,29,53.0,54.0,50.0,51.0,53.0,53.0,53.0,54.0,55.0,53.0,51.0,51.0,53.0,52.0,53.0,55.0,55.0,53.0,52.0,53.0,53.0,53.0,52.0,53.0,53.0,55.0,52.0,53.0,53.0,56.0,53.0,53.0,54.0,52.0,54.0,55.0,53.0,54.0,55.0,51.0,51.0,52.0,56.0,53.0,53.0,52.0,52.0,53.0,53.0,55.0
31,30,56.0,55.0,53.0,51.0,53.0,54.0,53.0,53.0,55.0,54.0,52.0,51.0,52.0,54.0,52.0,53.0,53.0,52.0,54.0,52.0,52.0,53.0,52.0,54.0,54.0,54.0,53.0,51.0,53.0,52.0,54.0,53.0,54.0,52.0,52.0,53.0,53.0,53.0,53.0,52.0,52.0,53.0,53.0,53.0,51.0,52.0,52.0,53.0,52.0,53.0
32,31,52.0,51.0,53.0,52.0,52.0,53.0,54.0,52.0,52.0,52.0,53.0,53.0,53.0,55.0,53.0,53.0,51.0,52.0,55.0,52.0,54.0,54.0,53.0,53.0,53.0,53.0,53.0,52.0,53.0,51.0,51.0,52.0,54.0,52.0,52.0,54.0,53.0,52.0,52.0,50.0,55.0,53.0,51.0,53.0,51.0,53.0,54.0,54.0,53.0,53.0
33,32,51.0,52.0,52.0,54.0,54.0,52.0,53.0,53.0,54.0,52.0,51.0,54.0,53.0,52.0,54.0,54.0,54.0,52.0,53.0,55.0,50.0,51.0,53.0,54.0,52.0,51.0,52.0,52.0,54.0,52.0,54.0,53.0,53.0,52.0,53.0,52.0,54.0,53.0,53.0,55.0,53.0,53.0,54.0,52.0,53.0,54.0,54.0,54.0,53.0,53.0
34,33,54.0,55.0,52.0,53.0,53.0,52.0,53.0,53.0,52.0,53.0,53.0,52.0,53.0,52.0,53.0,53.0,53.0,55.0,54.0,51.0,54.0,52.0,52.0,54.0,54.0,53.0,53.0,52.0,52.0,53.0,50.0,53.0,53.0,52.0,52.0,53.0,52.0,53.0,55.0,52.0,53.0,52.0,53.0,53.0,53.0,52.0,53.0,52.0,53.0,54.0
35,34,53.0,57.0,53.0,52.0,52.0,51.0,53.0,54.0,52.0,53.0,53.0,50.0,53.0,53.0,50.0,54.0,53.0,52.0,52.0,51.0,53.0,53.0,53.0,52.0,52.0,54.0,54.0,52.0,54.0,54.0,53.0,54.0,53.0,54.0,54.0,55.0,52.0,51.0,53.0,51.0,52.0,52.0,50.0,53.0,52.0,53.0,52.0,52.0,52.0,54.0
36,35,53.0,52.0,52.0,53.0,53.0,53.0,52.0,54.0,52.0,54.0,52.0,54.0,53.0,51.0,52.0,54.0,52.0,54.0,53.0,53.0,53.0,51.0,54.0,53.0,55.0,53.0,54.0,52.0,52.0,53.0,53.0,54.0,51.0,52.0,54.0,56.0,52.0,54.0,52.0,50.0,51.0,52.0,50.0,53.0,53.0,53.0,53.0,51.0,51.0,54.0
37,36,52.0,53.0,52.0,53.0,51.0,52.0,54.0,55.0,52.0,52.0,54.0,53.0,52.0,51.0,54.0,52.0,54.0,51.0,52.0,54.0,52.0,53.0,51.0,53.0,53.0,50.0,55.0,52.0,53.0,57.0,52.0,53.0,51.0,54.0,56.0,56.0,52.0,53.0,53.0,50.0,54.0,52.0,51.0,51.0,54.0,53.0,54.0,54.0,51.0,53.0
38,37,53.0,53.0,50.0,53.0,52.0,53.0,54.0,55.0,52.0,54.0,54.0,51.0,52.0,51.0,52.0,52.0,53.0,52.0,53.0,54.0,53.0,50.0,52.0,53.0,53.0,52.0,52.0,52.0,55.0,56.0,52.0,53.0,57.0,50.0,55.0,53.0,55.0,53.0,53.0,52.0,52.0,53.0,52.0,53.0,52.0,51.0,53.0,54.0,52.0,51.0
39,38,53.0,55.0,55.0,52.0,52.0,54.0,53.0,52.0,53.0,53.0,54.0,52.0,52.0,51.0,53.0,53.0,53.0,52.0,53.0,54.0,55.0,53.0,52.0,53.0,52.0,51.0,52.0,53.0,54.0,53.0,52.0,53.0,53.0,53.0,52.0,53.0,53.0,51.0,53.0,51.0,53.0,51.0,51.0,50.0,51.0,52.0,53.0,52.0,52.0,54.0
40,39,53.0,51.0,52.0,54.0,53.0,53.0,53.0,54.0,52.0,50.0,54.0,53.0,53.0,50.0,53.0,53.0,52.0,52.0,52.0,53.0,54.0,52.0,52.0,52.0,53.0,53.0,51.0,52.0,55.0,53.0,52.0,52.0,53.0,52.0,53.0,53.0,54.0,52.0,53.0,50.0,51.0,52.0,53.0,52.0,51.0,54.0,53.0,52.0,52.0,53.0
41,40,54.0,52.0,50.0,52.0,53.0,51.0,51.0,52.0,51.0,53.0,52.0,54.0,52.0,53.0,54.0,51.0,53.0,53.0,52.0,52.0,55.0,52.0,51.0,52.0,53.0,52.0,53.0,52.0,52.0,53.0,53.0,53.0,52.0,52.0,53.0,52.0,52.0,52.0,53.0,51.0,51.0,52.0,52.0,52.0,51.0,52.0,53.0,55.0,50.0,53.0
42,41,51.0,53.0,53.0,52.0,52.0,51.0,55.0,52.0,52.0,52.0,54.0,51.0,52.0,53.0,53.0,52.0,53.0,54.0,53.0,53.0,56.0,55.0,52.0,54.0,52.0,52.0,52.0,52.0,51.0,52.0,50.0,53.0,52.0,52.0,53.0,54.0,52.0,53.0,54.0,51.0,53.0,53.0,52.0,52.0,52.0,53.0,54.0,54.0,52.0,52.0
43,42,54.0,52.0,54.0,53.0,53.0,53.0,53.0,54.0,52.0,52.0,53.0,52.0,52.0,53.0,53.0,53.0,53.0,53.0,54.0,55.0,51.0,52.0,54.0,51.0,51.0,54.0,54.0,51.0,54.0,52.0,51.0,50.0,52.0,54.0,53.0,53.0,55.0,53.0,52.0,54.0,53.0,54.0,51.0,53.0,52.0,51.0,52.0,53.0,54.0,52.0
44,43,53.0,51.0,54.0,52.0,53.0,52.0,55.0,53.0,54.0,53.0,54.0,53.0,51.0,53.0,55.0,52.0,52.0,52.0,53.0,50.0,53.0,52.0,51.0,53.0,52.0,54.0,54.0,53.0,53.0,50.0,53.0,51.0,53.0,53.0,52.0,53.0,52.0,54.0,54.0,51.0,53.0,53.0,53.0,54.0,52.0,52.0,53.0,54.0,52.0,53.0
45,44,53.0,50.0,53.0,54.0,51.0,53.0,53.0,54.0,53.0,54.0,54.0,54.0,53.0,54.0,53.0,56.0,51.0,55.0,52.0,52.0,52.0,53.0,52.0,51.0,54.0,55.0,51.0,54.0,54.0,54.0,50.0,50.0,52.0,53.0,52.0,52.0,52.0,54.0,53.0,52.0,52.0,54.0,53.0,53.0,51.0,52.0,52.0,52.0,53.0,55.0
46,45,53.0,51.0,54.0,54.0,52.0,52.0,53.0,52.0,51.0,51.0,52.0,50.0,52.0,56.0,53.0,55.0,51.0,54.0,54.0,54.0,53.0,52.0,53.0,50.0,52.0,53.0,52.0,50.0,53.0,52.0,52.0,51.0,52.0,51.0,54.0,53.0,55.0,54.0,53.0,51.0,54.0,52.0,55.0,52.0,53.0,53.0,52.0,52.0,53.0,54.0
47,46,52.0,53.0,54.0,53.0,52.0,54.0,53.0,52.0,54.0,52.0,53.0,52.0,53.0,53.0,53.0,54.0,53.0,52.0,55.0,54.0,53.0,54.0,53.0,52.0,49.0,52.0,52.0,54.0,52.0,53.0,51.0,52.0,53.0,52.0,54.0,55.0,53.0,51.0,52.0,50.0,53.0,52.0,55.0,53.0,53.0,52.0,55.0,54.0,53.0,55.0
48,47,54.0,51.0,52.0,53.0,51.0,54.0,54.0,53.0,53.0,53.0,54.0,54.0,52.0,53.0,53.0,52.0,53.0,53.0,55.0,51.0,53.0,52.0,51.0,51.0,54.0,54.0,52.0,49.0,54.0,53.0,51.0,53.0,54.0,53.0,55.0,52.0,54.0,53.0,52.0,51.0,52.0,53.0,54.0,52.0,51.0,52.0,51.0,51.0,53.0,52.0
49,48,52.0,54.0,54.0,53.0,53.0,52.0,53.0,53.0,55.0,55.0,55.0,52.0,53.0,51.0,54.0,52.0,55.0,54.0,55.0,51.0,53.0,52.0,51.0,53.0,53.0,54.0,51.0,52.0,51.0,50.0,52.0,53.0,52.0,55.0,53.0,54.0,52.0,53.0,52.0,51.0,53.0,53.0,53.0,52.0,52.0,52.0,50.0,50.0,53.0,54.0
50,49,53.0,53.0,52.0,53.0,52.0,53.0,53.0,54.0,51.0,53.0,52.0,52.0,52.0,54.0,52.0,52.0,54.0,54.0,54.0,55.0,53.0,53.0,54.0,52.0,54.0,52.0,53.0,53.0,54.0,51.0,52.0,52.0,51.0,53.0,54.0,53.0,51.0,53.0,52.0,52.0,52.0,53.0,52.0,51.0,52.0,54.0,53.0,52.0,52.0,52.0
51,50,53.0,51.0,54.0,51.0,52.0,55.0,53.0,54.0,51.0,52.0,53.0,54.0,52.0,53.0,51.0,54.0,53.0,55.0,55.0,54.0,51.0,50.0,52.0,55.0,52.0,54.0,52.0,51.0,55.0,53.0,52.0,54.0,55.0,53.0,51.0,53.0,54.0,53.0,54.0,51.0,52.0,53.0,52.0,51.0,52.0,52.0,54.0,52.0,51.0,52.0
52,51,51.0,51.0,53.0,52.0,53.0,51.0,52.0,53.0,52.0,55.0,55.0,54.0,54.0,51.0,54.0,54.0,52.0,51.0,54.0,52.0,54.0,52.0,53.0,53.0,54.0,52.0,54.0,53.0,52.0,55.0,52.0,53.0,56.0,55.0,53.0,55.0,52.0,52.0,53.0,50.0,55.0,53.0,54.0,52.0,53.0,54.0,52.0,53.0,51.0,53.0
53,52,53.0,51.0,54.0,54.0,54.0,52.0,53.0,54.0,52.0,53.0,51.0,53.0,51.0,52.0,52.0,54.0,54.0,51.0,53.0,53.0,54.0,51.0,53.0,49.0,51.0,53.0,54.0,52.0,52.0,54.0,54.0,54.0,52.0,50.0,52.0,53.0,55.0,54.0,51.0,52.0,52.0,53.0,52.0,51.0,53.0,53.0,54.0,53.0,54.0,55.0
54,53,53.0,51.0,53.0,53.0,55.0,54.0,53.0,52.0,54.0,53.0,53.0,51.0,52.0,54.0,52.0,51.0,53.0,53.0,53.0,51.0,53.0,52.0,53.0,53.0,50.0,52.0,53.0,53.0,51.0,54.0,53.0,51.0,50.0,52.0,52.0,52.0,52.0,53.0,54.0,50.0,53.0,52.0,51.0,52.0,55.0,52.0,53.0,54.0,53.0,53.0
55,54,55.0,54.0,54.0,53.0,52.0,53.0,52.0,55.0,51.0,52.0,51.0,52.0,54.0,51.0,52.0,54.0,52.0,52.0,54.0,53.0,54.0,52.0,53.0,52.0,53.0,55.0,53.0,54.0,52.0,55.0,53.0,52.0,53.0,53.0,53.0,53.0,52.0,54.0,53.0,51.0,54.0,53.0,52.0,54.0,52.0,54.0,55.0,52.0,53.0,51.0
56,55,54.0,52.0,51.0,53.0,53.0,53.0,53.0,53.0,52.0,53.0,53.0,53.0,54.0,52.0,53.0,52.0,54.0,53.0,55.0,53.0,54.0,52.0,53.0,53.0,54.0,54.0,52.0,51.0,52.0,53.0,52.0,53.0,53.0,52.0,52.0,53.0,52.0,53.0,53.0,55.0,53.0,52.0,52.0,52.0,51.0,52.0,54.0,51.0,54.0,52.0
57,56,53.0,52.0,52.0,52.0,54.0,52.0,54.0,52.0,54.0,53.0,54.0,52.0,53.0,50.0,54.0,52.0,54.0,54.0,52.0,54.0,54.0,53.0,51.0,53.0,53.0,53.0,53.0,54.0,52.0,54.0,52.0,52.0,53.0,52.0,52.0,55.0,52.0,53.0,53.0,53.0,52.0,54.0,53.0,52.0,54.0,54.0,51.0,53.0,51.0,51.0
58,57,54.0,50.0,54.0,54.0,54.0,53.0,53.0,55.0,53.0,54.0,53.0,52.0,52.0,53.0,54.0,53.0,52.0,54.0,53.0,53.0,53.0,52.0,52.0,52.0,54.0,54.0,54.0,52.0,54.0,53.0,53.0,51.0,53.0,52.0,54.0,53.0,53.0,54.0,51.0,54.0,53.0,54.0,51.0,53.0,54.0,52.0,54.0,52.0,54.0,51.0
59,58,51.0,52.0,53.0,52.0,51.0,53.0,54.0,52.0,52.0,52.0,53.0,51.0,52.0,52.0,52.0,54.0,54.0,52.0,50.0,52.0,52.0,54.0,50.0,53.0,54.0,52.0,52.0,51.0,51.0,52.0,54.0,55.0,50.0,54.0,52.0,54.0,51.0,52.0,53.0,52.0,53.0,54.0,53.0,54.0,54.0,53.0,52.0,54.0,53.0,54.0
60,59,52.0,53.0,52.0,54.0,53.0,54.0,52.0,53.0,50.0,51.0,54.0,52.0,52.0,51.0,52.0,52.0,53.0,53.0,51.0,53.0,52.0,54.0,54.0,51.0,55.0,54.0,53.0,52.0,53.0,57.0,52.0,52.0,51.0,51.0,51.0,55.0,53.0,53.0,52.0,53.0,50.0,53.0,54.0,53.0,53.0,53.0,54.0,52.0,52.0,55.0
61,60,53.0,51.0,52.0,53.0,53.0,53.0,53.0,52.0,52.0,54.0,54.0,52.0,50.0,53.0,52.0,53.0,51.0,54.0,55.0,53.0,49.0,53.0,51.0,52.0,53.0,51.0,52.0,54.0,54.0,54.0,50.0,52.0,53.0,53.0,54.0,54.0,55.0,54.0,53.0,52.0,52.0,53.0,51.0,54.0,53.0,53.0,53.0,55.0,52.0,53.0
62,61,54.0,54.0,52.0,54.0,51.0,51.0,52.0,54.0,55.0,55.0,51.0,52.0,53.0,51.0,53.0,54.0,52.0,52.0,55.0,55.0,51.0,53.0,53.0,52.0,56.0,54.0,54.0,51.0,52.0,54.0,52.0,55.0,52.0,52.0,55.0,55.0,51.0,51.0,53.0,51.0,51.0,54.0,51.0,52.0,53.0,52.0,51.0,53.0,54.0,54.0
63,62,54.0,53.0,51.0,51.0,52.0,53.0,52.0,51.0,52.0,53.0,51.0,53.0,51.0,50.0,53.0,53.0,53.0,52.0,53.0,53.0,51.0,55.0,53.0,50.0,52.0,51.0,53.0,49.0,55.0,53.0,51.0,52.0,53.0,52.0,52.0,52.0,53.0,54.0,52.0,53.0,51.0,52.0,52.0,51.0,52.0,54.0,51.0,54.0,54.0,54.0
64,63,53.0,53.0,54.0,53.0,53.0,52.0,52.0,52.0,53.0,54.0,53.0,53.0,53.0,50.0,54.0,52.0,52.0,55.0,52.0,50.0,54.0,54.0,52.0,52.0,53.0,50.0,51.0,53.0,53.0,52.0,53.0,51.0,50.0,53.0,53.0,53.0,53.0,52.0,52.0,51.0,51.0,53.0,53.0,52.0,53.0,53.0,52.0,54.0,53.0,53.0
